ingredients,date,location,price,tasting_notes
"Serrano ham, fig spread, manchego, balsamic vinegar, arugula",03/28/2012,"Bierkraft, Park Slope",$10,"I liked this one more than the Italian but Sam felt oppositely.  We both agreed the bread was a little tough.  But overall, delicious sandwiches"
Italian,03/28/2012,"Bierkraft, Park Slope",$10,
greek hummus and jarlsburg on whole wheat sour dough,03/29/2012,at work,,I am very congested so I couldn't really taste the sandwich
"Roasted Garlic hummus, baby spinach, red pepper hummus and Sriracha on whole wheat pita ",03/31/2012,at work,,"Really good sandwich! Also, I found it surprisingly filling. I brought hummus and pita and a random bag of babay spinch to work. Desperation is the invention of....good sandwiches? I think so. "
"Huevos Rancheros: two fried eggs, cooked over-medium, and served with avocado, pickled jalape&ntilde;os, a saut&eacute; of Ranchero peppers and onions, chipotle mayo and a spicy pinto bean and crumbled chorizo spread",04/01/2012,"Tortaria, near Union Square",$7.81,ditto to shan. interesting take on the torta with a bun instead of a big piece of bread...i'd say better bread to stuff ratio than your typical torta but small.
"Mexican Egg Sandwich: scrambled eggs served with avocado, pickled red onion, spicy black bean spread and Crispy Bacon",04/01/2012,"Tortaria, near Union Square",$7.81,"Very delicious, a little small"
"MEYER LEMON CHICKEN, Sun-dried Tomato Mayo, Kale, Olive Oil ",04/02/2012,"No 7 Sub, near penn station",$9,"wish the lemon packed more bite, could have done with one more ingredient, not sure what. but still a very satisfying sandwich. i really appreciated the use of kale. more sandwiches should involve kale"
"CANADIAN BACON, Radicchio, Cucumber Salad, Maple Mustard",04/02/2012,"No 7 Sub, near penn station",$9,
"PORK & SHRIMP CHORIZO, Sweet Potatoes, Pickled Rhubarb, Cilantro $9",04/02/2012,"No 7 Sub, near penn station",$9,great combination of sweet and savory
"Peppered turkey, pea sprouts, jarlsburg, greek hummus, stone ground mustard on 6 grain with pumpkin seeds",04/05/2012,at work,,Not my best sandwich.  The bread was a little overwhelming and the pea sprouts not as delicious as I anticipated.
Hillel Sandwich: charoset and horseradish on matzo,04/06/2012,at sam's and at nicole's (4/7/2012),,delicious as well as symbolic
Lamb Burger,04/08/2012,"Xi'an Famous Food, East Village",$3,A+
"Peppered turkey, jarlsburg, greek hummus, stone ground mustard on 6 grain with pumpkin seeds OPEN FACE",04/09/2012,at home,,"same as the sandwich I had on Thursday but open face, much better"
"The Passed(over) Sandwich: Kosher Turkey leftovers (w/ gravy), kale red pepper onion saute combo, siracha/mayo, stone ground mustard on tuscan wheat",04/10/2012,at home,,not bad--would definitely eat it again; served with tomato soup (lots of black pepper)
"Seared asparagus spears, red onion soak in balsamic vinegar, hard boiled egg, red onion, French mustard, olive oil, and fresh dill",04/10/2012,at home.  Based on this recipe: http://www.thekitchn.com/spring-sandwich-boiled-egg-seared-asparagus-pickled-onion-167365,,A very refreshing sandwich
"Serrano ham, fig spread, manchego, balsamic vinegar, arugula",04/14/2012,"Bierkraft, Park Slope",$10,This was my second visit to Bierkraft and I was slightly less enthused.  The bread is very tough and bread is very important
almond butter and strawberry jam on a toasted english muffin; open face yo,04/16/2012,at home,"crazy cheap, like I don't even know","almond butter is delicious, and there are no sandwiches mentioning it listed here, so i wanted to put this on everyone's radar. i had this sandwich for breakfast at 8, and i was totally satisfied until i had lunch at 1. i even used the silly 100 calorie english muffins that my gf makes us buy. "
falafel,04/20/2012,Herm's Box (truck at 91st and Central Park West),$4,"This falafel is pretty good, especially in the food desert that is Central Park West.  I always get a little confused about the nature  of ""white sauce"" when I am ordering (is it tahini or mayo?) and often my falafel ends up a little heavy on the mayo.  Another funny thing:  I have probably bought a sandwich from the man at this food truck 8-10 times and this time he told me I have a British accent.  Doesn't make sense."
Meat ball sandwich (#4) and some sort of pork & pate sandwich (#2),04/20/2012,"New Sau Voi Corp, soho",$4.00 each,Outstanding Vietnamese sandwiches
BLT,04/21/2012,Cafe Petisco,$5.50,Nothing too special.  My favorite thing about this sandwich is that it is listed on the breakfast menu.
#1 (I can't remember the exact ingredients),04/23/2012,"New Sau Voi Corp, soho",$4,Back for more!
Grilled (shredded) cheese on wheat bread,04/24/2012,At the apartment where I babysit,,Shredded cheese is not ideal for making grilled cheese sandwiches but otherwise an ok sandwich.  Harper (age 2) definitely liked it
"egg on a roll with: avocado, bacon, tomato (no cheese)",04/30/2012,Back in the Kitchen (to go / eaten on the road),$4-5 (?),"this was the ideal egg-on-a-roll combination. It took me 2 months to figure it out, but it was really perfect. tomato added enough juicyness, bacon the saltiness, and avo the creamy richness. no cheese was necessary. Served with love and a surprise cake-pop from cassie. a delicious and sentimental wassaic send-off as i drove back to nyc!"
Vegertarian Cubano,04/30/2012,Grindhouse Deli ( sandwich of the month),$7,FAKE MEAT(ham) ON FAKE MEAT(pork?) ON PICKELS ON MUSTARD ON SWISS CHEESE.So good.
"Home fries, tomatoes, lettuce and salsa verde on corn tortilla",04/30/2012,in my kitchen,freee.99,"At the end of the month when there were no grociers left. Surprisingly not bad, pretty fresh and tasted like summer. "
"scrambled egg, muenster and smoked salmon on a biscuit",04/30/2012,"Cheeky Sandwiches, LES",$6.50,Cheeky's breakfast sandwiches do not dissapoint
"Cream cheese, marmalade and honey on Toast",05/01/2012,in my kitchen,freee.99,"Not gonna like, basically an accident of a breakfast sandwich. I thought I had different indgredients and then it was too late to back out and I only had a couple minutes before the bus came, and I was anxious and just put some random shit on this toast. ALTHOUGH-i'd make it again, less honey though it was pretty sweet. "
"chickpeas, kale, leftover hummus with hardboiled egg and eggplant on corn tortilla",05/03/2012,in my kitchen,freee.99,delicious combo. kale and chickpeas in tortilla is my go-to meal. but the hummus made it killing!
"Hummus, daikon radish, red pepper spread, sriracha and lettuce on 12 grain bread",05/08/2012,At work (from my kitchen),freee.99,"Not bad, but not my best creation. I had to eat it at a time when I wasn't even hungry, which in my opinion is the worst."
"Tuna Camping-club: typical tuna salad with mayo/celery & salt/pepper on whole wheat, but the crucial ingredient was the chopped BACON left over from breakfast that morning (extra crispy).  ",05/09/2012,on the top of Wheeler Mountain in vermont,free.net,"I ate this with very sweet grapes, in retrospect, they should have been inside the sandwich."
"Pastrami with kraut, arugula, tomato and spicy mustard.",05/13/2012,Prospect park (from Bierkraft),$10,"As big a fan as I am of spice, I found this combo was a little out of balance. That being said, these sandwiches are always perfect to split with a friend."
"Smoked salmon, goat cheese, apples, spinach, capers and rasberry dijon vinaigrette",05/14/2012,Little Skips,$7,Awesome.
"Horseradish hummus, homemade pesto, daikon radish and romaine on sprouted grain bread.",05/15/2012,At work (from my kitchen),free.fifty!,Fridge cleaning roundup! Making your own pesto is such a gamechanger.
"man's wrap (1): lightly scrambled eggs, mexican frying cheese, avocado, a little cream cheese and cayenne pepper on a wrap",05/15/2012,my kitchen!,priceless,"cream cheese it totally optional, and can take the place of the frying cheese when that runs out"
"Tuna melt (tuna salad, lettuce, tomato, cheese) on Rye",05/15/2012,Diner waaay uptown.  96th and Madison?,$10,"The diner was closed but they still made us these sandwiches!  Ate them on a stoop.  Also the radio of filling to bread was crazy, did not fit well. But still delicious.  "
"smoked salmon, avocado, tomato, sprouts, bbq sauce, mayo on a wrap",05/16/2012,Brooklyn Natural,$6.50,"next time i'll try cream cheese instead of mayo, but otherwise was glad i substituted cucumbers for sprouts, and added bbq sauce"
Southwestern turkey sandwich (don't remember the exact ingredients.  I think pepperjack was involved),05/17/2012,Grocery store on the corner next to McNally Jackson bookstore in SoHo,$6.50,Great value.  Especially good once you add a little sriracha.
"Brie, almond, and fig sandwich (warmed up)",05/19/2012,Cafe Petisco,$9.00?,"This sandwich is really good, but it is missing a little something.  I there was another non-sweet flavor"
"Bacon, egg and cheese on a roll",05/21/2012,Back in the Kitchen,under $4.00,I also ordered iced coffee: best breakfast.  This sandwich is one of my favorite things about living in Wassaic.  I am very excited to try more of Back in the Kitchen's lunch sandwiches this summer.  EVERYONE COME VISIT ME AND WE'LL GO TOGETHER.
"Turkey, arugula, tomato, really good mustard on rye",06/02/2012,Back in the Kitchen,,Eve and Ryan got me this sandwich when I was really hungry but had to catch the train.  Extra delicious due to the circumstances.
"turkey, lettuce, tomato, mayo, pesto on rye",06/03/2012,Cousin's in Wassaic,$6.00?,This is Ryan's usual sandwich order at Cousin's
avocado on whole grain (open faced),06/10/2012,at home,,I never get tired of this sandwich.  We don't have a toaster.  Oven toasting is very hard to do right.
"hearty bread, tofu (raw), lettuce (from the LIC CSA), cucumbers, shit tons of yellow mustard, leftover baba ganoush from OMG PIZZA ",06/13/2012,walking around at work/doing work errands,uncertain,"the key in this sandwich was the baba ganoush which made the otherwise bland ingredients come alive, and also made my lame day at work more delicous and lovely remembering eating the babaganoush the first time.

also, this was the second day that i had been carrying around a whole tomato around with me all day with intentions to put it on my sandwich but never did it so I still have a tomato in my backpack as I write this."
"egg, pepperjack and bacon on a roll with hot sauce",06/19/2012,Renny's next to the laundry mat,$3,pepperjack made this sandwich extra tasty
"salami, swiss and arugula with mustard and mayo on sour dough",06/19/2012,my house,,I bought a lot of salami at the grocery store so there are a lot of salami sandwiches in my future
"homemade mozzarella, homemade tomato sauce, romano, fresh basil one-face on sour dough",06/19/2012,my house,,note: I had a sandwich for every meal today!
"veggie philly cheese steak sandwich: nice squishy baggette type bread, chicken-style seitan (seasoned with c-spices), medium sharp cheddar, butter, open face toasted in broiler. optional addition of arugula (fresh from the LIC CSA!!) ",06/20/2012,man's kitchen,lots of whole foods moneys (mostly cuz we got carried away with non-sandwich groceries),"this sandwich was delish, although man says it's not his best. it was crunchy and delicous and cheesy and did not make you feel inadequate or lacking or hungry even without meat. aliya really enjoyed the addition of arugula for a peppery earthy veggie infusion in the otherwise somewhat dense sandwich experience"
"pepper jack, pepper turkey, arugula, cucumber, salt and pepper on whole wheat sour dough",06/29/2012,the schoolhouse,,one of my better homemade sandwiches
whoopie pie (from the best bakery in southern maine): 2 chocolate cakes with frosting/cream in the middle,07/05/2012,"the bus from Portland, ME to NYC",$2.50,i ate the whole thing myself for dinner. it was delicious. no shame.
"pepper jack, pepper turkey, arugula, cucumber, salt and pepper on cheddar-jalapeno ciabatta from the farmers market",07/08/2012,the schoolhouse,,the cheddar-jalapeno ciabatta doubled the deliciousness of this sandwich
"Salmon salad (canned salmon, scallons, basil, dill, mayo, mustard, pepper), mustard greens on olive bread",07/09/2012,the schoolhouse,,Canned salmon isn't really something that was on my radar but it has A LOT of potential for great sandwiches.  Eve has taught me a lot of good sandwich tips.
"Spinach, cracked pepper turkey, mayo, sour cherry chutney, sugar, salt and pepper on Berkshire Mtn Bakery Sunny Flax",07/13/2012,the schoolhouse north,,very nice.  sour cherry chutney needs to get some more use.
"spicy black bean vegi burger, two slices of pepper jack, mayo, sriracha and arugula on cheddar-jalapeno ciabatta",07/15/2012,the schoolhouse,,YOU CAN'T LOSE WITH THIS CIABATTA!!!
Brisket Sandwich,07/21/2012,Big W's,?,"Big W's is an amazing place. Their sandwiches are not to be missed. Some things I learned: when they ask what kind of bbq sauce you want, say one of each; put your coleslaw on your sandwich; the best sides are the corn pudding, the fruit compote and the ""something green"""
i had excellent identical sandwiches today. hot dogs with sauteed sweet onions and nathan's mustard on slices of grainy batard. open faced.,07/21/2012,home,,side of beans. coffee egg cream.
"Bacon, egg and cheese and HOT SAUCE on a roll",07/23/2012,Back in the Kitchen,$4,I don't know why I hadn't thought of putting hotsauce on this sandwich until Raoul suggested it. Definitely the right choice.
"Pepper jack, pepper turkey, arugula, avocado salt and pepper on herb ciabatta from the farmers market",07/24/2012,the schoolhouse,,This sandwich has been a staple of my summer.  Not surprisingly the avocado brought it to a new level.
BLT,07/25/2012,Back in the Kitchen,$6.50,I realized this BLT is so good because they put mustard on it.  Great move.
"""The Nantucket"" : really good turkey, cheddar, cranberry sauce, granny smith apple, mayo, and dijon on sourdough",08/01/2012,"Woodstar, Northampton, MA",$6.75,I can't figure out what makes this sandwich so good. I think it might be the mayo & mustard? the mustard is really spicy. or the bread? or the turkey? or maybe its the SYNTHESIS?
"double cream brie, humbolt fog, arugula, fig spread, caramelized onions, balsamic, on baguette",08/06/2012,"BIERKRAFT, Park Slope",$10,"This is my favorite sandwich. I have been meaning to write about it for a long time and continued to forget. I was also intimidated by the lack of love for bierkraft in sandwich club. I whole-heartily believe Bierkraft has the best veggie sandwich options in NYC besides maybe that Cambodian sandwich place in Manhattan that I'm forgetting the name of. This sandwich is the best. Perfect combo of sweet and savory. the textures meld perfectly and the arugula adds a fresh and spicy kick. They should put it up on the board, its just that good. Order it and you won't be disappointed. Better yet, share it with a friend and split an unforgettable ice cream sandwich for dessert! I have tried many combinations including adding mustard, adding sun dried tomatoes, trying a hard cheese in addition to the brie, all of these were also delicious but i like the aforementioned ingredient combo the best. "
"""The Breanne"" : Egg, cheese, bacon and avocado on a roll",08/06/2012,Back in the Kitchen,?,"Fellow club member, Breanne Trammell, told me that at Back in the Kitchen if you get anything with avocado on it, it is called ""The Breanne.""  I hadn't realized you could customize sandwiches.  SO MUCH POTENTIAL. Breanne also recommends adding roasted tomatoes."
"two fried eggs with salt and pepper on toasted sour dough with homemade siracha mayo, sauteed cabbage with salt, pepper, olive oil, garlic and onions, and grated pecorino from the pizza boys (definitely staggionato)",08/07/2012,home! in wassaic,not a lot,"Doug and Josh ate them, too!"
Meatloaf sandwich,08/17/2012,"Oakhurst diner, Millerton, NY",~$8,"I really appreciate that kimchi is an option for your side.  Also, Ben ate a garden burger that looked amazing."
"Peppered bacon, tomatos, avocado, mustard on whole wheat sourdough",08/20/2012,At home,,Prepared by Eve
"house cured tuna, black olive tapenade, roasted tomatoes, arugala, olive oil, lemon, baguette",08/20/2012,"Fort Defiance, Red Hook, Brooklyn",$11,"near-perfect balance between salty tuna and tapenade and sweet, buttery tomatoes and pepper arugula"
"grilled tofu in sesame sauce, saut&eacute;ed spinach and melted brie in a flour burrito wrap ",08/21/2012,my kitchen!,,"holy crap this was better than i was expecting. i cooked the tofu on just this side of crispy, which i think made the difference relative to the creamy brie and spinachy spinach. well, also the tofu and spinach were cooked in a liberal amount of butter."
"Marinated mock duck, with caramelized onions, roasted red peppers, swiss cheese on a Ciabatta roll ",09/09/2012,Seward Co-op,$6.95,Didn't help in my never-ending search to figure out which is better: mock duck or duck
"Meatloaf, butter lettuce, tomato, bacon mayonaise",09/09/2012,"No 7 Sub, Greenpoint",pricey,Bacon Mayonnaise is a crazy but delicious idea
"Turkey, provolone, gouda, red onion, micro greens, homemade garlic aioli on a toasted baguette",09/09/2012,"My sister's condo in Seattle, WA. She made it.",free (for me),"This is my first contribution to this spreadsheet. I have been a distant admirer for some time, but now I will become an ACTIVE PARTICIPANT. Can't wait."
"Prosciutto, arugula, fontina and fig jam panini. Dipped in potato leek soup for double whammy.",09/10/2012,Back in the Kitchen,,
"Breakfast bagelwich: veggie chix patty, fried egg, and sriracha on an everything bagel",09/14/2012,"Breakfast nook, my apartment, Mpls near Loring Park",,"Most of the sandwiches I eat are breakfast sandwiches. Shannon, I got my sticker!"
"""The Western"": double beef patty, fried onions, pepperjack, bacon",09/15/2012,Bare Burger,"Like $12, but someone else paid","Onion rings, french fries on side. This is more of a special occasion hamburger than an everyday hamburger."
"Deluxe hamburger: Hamburger, lettuce, tomato, mayo, ketchup",09/15/2012,Red Rooster Drive-in,$3.95,Onion rings on the side
some giant slices of garden ripe tomato crisp organic bacon mayo on a challah roll.,09/17/2012,home,,"side: potato chips, beverage: chocolate egg cream"
"slices of a yellow heirloom tomato (yellow cherokee, I think?) plus mayonnaise on an ak-mak cracker with black pepper on top. Openfaced!",09/17/2012,home,,THE QUINTESSENTIAL SUMMER SANDWICH. mayonnaise is the best tomato accompaniment. An earlier incarnation is pictured here: http://doubleoven.tumblr.com/image/29005198690
"Brie, gala apple and arugula on multigrain",09/17/2012,home,,Getting ready for fall!
"A fried egg (over very easy), thin shavings of cheddar, two slices of  salami, mayo, and sriracha on two pieces of crist toast.",09/18/2012,The school house,,A thrown together concoction that actually tastes pretty damn good.
"Meatloaf (preferably leftover), spring mix, mayo, chutney, corn salsa on rye (should be toasted)",09/18/2012,home,,
"toast (open faced) with tomato paste, white extra sharp cheddar cheese, oregano, black pepper, poached egg . BROILED, BITCHES",09/20/2012,FLUX FACTORY KITCHEN,communal sweat & tears,"THE POACHED EGG PIZZA-TOAST IS THE NEW REVOLUTION. watch out, world, this sandwich is about to take over.
SPICES ARE KEY FOR THE TRUE PIZZA OVEN-AT-HOME-EXPERIENCE"
BLT (unfortunately using some kind of Miracle Whip in place of the mayonnaise I was hoping for),09/20/2012,"Amazing Sandwich, Chiang Mai",95 baht,Awful. Shame-inducing. I later ate some fantastic Thai curry and felt very stupid for stopping at Amazing.
BBQ mock duck on a hoagie roll w/tater tots,09/21/2012,"Grumpy's on Washington Ave S, downtown Mpls",$7.95 plus extra for tots,"Fine to good? No surprise w/r/t sauce or toppings, but I won't complain about a bar that serves seitan dishes."
"Brie, carmelized onions, mango chutney, turkey on toasted multigrain",09/21/2012,"Di Bruno Brothers Market, Philadelphia",~$10,phenomenal
"Egg salad, wheat toast, arugala, salt, pepper",09/23/2012,B + B house,,"sandwich was good-yes, it might be better with dill, but eating it was lots and lots of fun."
"roasted turkey, swiss, lettuce, shitty tomatos on whole wheat. little bit of ranch too (not gonna lie to you)",09/24/2012,"fucking quizno's on my way home from school, NY thruway",too much it makes me sad,"i ate half in the car at 2pm. other half for dinner at 7, HOWEVER for the 2nd half I added half an avocado, ton of spicy mustard, nutritional yeast and a decent amount of pepper which made it much more tolerable. :( :)"
i just had a bologna and mustard on a fresh challah roll.,09/25/2012,home,,bliss with a fizzy lizzy raspberry lemon.
BLT on multigrain,09/25/2012,"Irving Farm Coffee, Millerton, NY",$5.50,A little heavy on the mayo. The multigrain bread was great though.
"mushroom, artichoke, provolone, pesto and special ""dirty sauce"" on dutch crunch",09/25/2012,"Ike's Laire, Oakland, CA",~$10,"amazing, dutch crunch is the best!"
"lightly battered/fried chicken breast, hot sauce, honey butter on buttermilk biscuit",09/27/2012,"pies & thighs, brooklyn",$6,PERFECTION. never met a chicken biscuit i didn't like from P & T. was with Jeila and we split a squash side salad (6$) and cheese grits (4$). so best.
"Tuna melt (tuna salad, swiss and tomato on ""dark bread"")",10/01/2012,"Communitea, Long Island City",$7.50,"I try and pretend like tuna melts aren't great, but they really are. That being said, I ate it on the waterfront and I kept thinking about how much better it would have been with a little hot sauce. "
"Honey mustard chicken salad on toasted wheat with lettuce, tomato, swiss, avocado",10/04/2012,"back in the kitchen, amenia ny",$6.25,I was reluctant to order this given the honey mustard (never a fan) but Cassie told me it was a subtle honey. Delicious. Chips and pickle on the side.
"Peppered salami, cheddar, mustard on whole wheat",10/07/2012,Home,$3.50?,"Pickles on the side, but too much flavor overlap between mustard and pickle for maximum pickle deliciousness; lesson learned"
"The ""R Burger"": The bread/bun was sort of the consistency of a pork bun but a little denser, a patty made of chicken and spices, lettuce, onion, some sweet (teriyaki?) sauce",10/08/2012,"R Burger, Bangkok",$2 with fries,"The bread was a little strange, but the patty was very well seasoned"
"Italian beef (incl pickled peppers, what appears to be meat juice or ""jus"")",10/14/2012,Pork Slope,$10,"Really, really delicious. Bread saturated in meat juice was a huge pro, in my book. Potato salad on the side"
"Breakfast bagelwich: veggie chix patty, fried egg, and sriracha on an everything bagel",10/16/2012,"Breakfast nook, my apartment, Mpls near Loring Park",,Guy in the apartment below me gets out of bed really early and plays his wake-up music way too loud
"Egg salad and smoked salmon on toasted wheat [?] with lettuce, tomato",10/20/2012,"Northbound Smokehouse brewpub, SE Mpls",$9.25,"Would have enjoyed more salmon, but then that'd be true no matter what. If you're gonna toast the bread then TOAST. IT."
Egg and cheese on a bialy,10/20/2012,"Peter Pan Donuts, Greenpoint",$2.83,I would eat this every day if I could.
"Serrano ham, fig spread, manchego, balsamic vinegar, arugula",10/21/2012,"Bierkraft, Park Slope",$11,"Pretty fucking good, although I always feel like something is missing from their suggested sandwich combos...."
"Goat cheese, spinach, tomoato, avocado, apple red onion, raspberry dijon vinaigrette",10/23/2012,Little Skips,$7,"They skimped on the goat cheese, but mmmmmm nonetheless"
"ciabatta roll, swiss cheese, two slices Canadian bacon, fried egg, strawberry preserves",10/25/2012,home,,"sort-of croque madame, strawberry preserves a really good idea"
"Croissant, fried egg, some kind of sharp cheese, tomato, avo., garlic aoli, ",11/02/2012,"Alice's Arbor, Bed-Stuy",$6.50,This sandwich was incredible. It was huge considering it was on a croissant...i think they may make their own pastries (it certainly tasted like it!). the flavors melded into a delicious buttery heaven...and it came with a pickle wedge which is essential.
"Everything bagel with 1 egg, swiss and hot sauce",11/03/2012,"Bagel Pub, Park Slope",$3.25,The swiss was 75 cents extra but well worth it
Grilled pork banh mi,11/03/2012,"Hanco's, Park Slope",$6.50,"This sandwich was delicious though a little expensive given my expectations for bahn mi prices. Also, Hanco's was featured on The American Life a while ago: http://ny.eater.com/archives/2010/07/hancoshenrys_banh_mi_war_makes_this_american_life.php"
"Turkey, avocado, gruyere and red onion on a roll",11/05/2012,Sam's house,,The gruyere was expensive but made the sandwich very delicious. Sam put much more turkey on his sandwich plus mayo and mustard and seemed happy with it.
Fava Bean spread with garlic(just a little!) and olive oil over homemade bread with sauteed bitter greens (like dandelion) - and sprinkle of parmeson - OPENFACED.,11/11/2012,"Mama's house, ATL, GA",free with patience,"This is solidly the most delicious thing anyone will ever eat. Fresh fava beans are essential.  They get shelled, boiled briefly, then shelled again, then mashed and cooked up with some finely chopped garlic and olive oil, and sauteed greens make the magic touch.  How often do you eat bitter food?????"
"Smoked Turkey, smoked gouda, lettuce, tomato, banana peppers (turkey and cheese is heated, but the bread is untoasted)",11/12/2012,City Sub in Park Slope,$8.00?,This sandwich was delicious and HUGE. Jeila and I split it which was a great solution.
"veg. turkey, tempeh bacon,  gouda, avocado, red onion, sundried tomatoes, sprouts, hot peppers, veganaise on rosemary garlic bread",11/14/2012,"General Store, Grand & Havemeyer (williamsburg)",$10,"It's sort of a subway-style customize your own sandwich experience with much better ingredients. They have these little laminated cards with all the ingredients on them and you check off all the ones you want. With 10 kinds of cheese, 5+ vegetarian protein options, and 12 or so kinds of bread there's a ton of variety for vegetarians which I really appreciate"
"garlic mashed yams, gravy, turkey, lettuce, and cranberry sauce on rosemary potato bread",11/23/2012,Breanne's,,Thanksgiving leftovers make the best sandwiches
"Mayo, homemade cranberry sauce, braising salad mix with mustard greens, avocado, chamembert, avocado, smashed sweet potato, generous amount of pepper, nutritional yeast on toasted sourdough",11/23/2012,home,,One of the best sandwiches I've made.
Pulled Pork Mac and Cheese,11/28/2012,reBar (Dumbo),$10,"A duo of expected phenomena left in a lunch lady's tray a bit too long. Mango slaw couldn't make this sure shot happen. Ketchup as a last resort, the tomato-y lubricant needed to get this overly dry pair wrapped in a roll down my hunger hole. At least they forgot to charge me for my beer. "
Cubano,12/04/2012,Tina's (56th & 5th),$7.45,Not delicious. A friend ordered the friend pork. It looked way more delicious
